From,To,TransportMode,Year,Flow
CaptureSite3,CaptureSite1,rail,5,0.0
CaptureSite3,CaptureSite1,rail,6,0.0
CaptureSite3,CaptureSite1,rail,7,0.0
CaptureSite3,CaptureSite1,rail,8,0.0
CaptureSite3,CaptureSite1,rail,9,0.0
CaptureSite3,CaptureSite1,rail,10,0.0
CaptureSite3,CaptureSite1,rail,11,0.0
CaptureSite3,CaptureSite1,rail,12,0.0
CaptureSite3,CaptureSite1,rail,13,0.0
CaptureSite3,CaptureSite1,rail,14,0.0
CaptureSite3,CaptureSite1,rail,15,0.0
CaptureSite3,CaptureSite1,rail,16,0.0
CaptureSite3,CaptureSite1,rail,17,0.0
CaptureSite3,CaptureSite1,rail,18,0.0
CaptureSite3,CaptureSite1,rail,19,0.0
CaptureSite3,CaptureSite1,rail,20,0.0
CaptureSite3,CaptureSite1,rail,21,0.0
CaptureSite3,CaptureSite1,rail,22,0.0
CaptureSite3,CaptureSite1,rail,23,0.0
CaptureSite3,CaptureSite1,rail,24,0.0
CaptureSite3,CaptureSite1,rail,25,0.0
CaptureSite3,CaptureSite1,pipeline,0,0.0
CaptureSite3,CaptureSite1,pipeline,1,0.0
CaptureSite3,CaptureSite1,pipeline,2,0.0
CaptureSite3,CaptureSite1,pipeline,3,0.0
CaptureSite3,CaptureSite1,pipeline,4,0.0
CaptureSite3,CaptureSite1,pipeline,5,0.0
CaptureSite3,CaptureSite1,pipeline,6,0.0
CaptureSite3,CaptureSite1,pipeline,7,0.0
CaptureSite3,CaptureSite1,pipeline,8,0.0
CaptureSite3,CaptureSite1,pipeline,9,0.0
CaptureSite3,CaptureSite1,pipeline,10,0.0
CaptureSite3,CaptureSite1,pipeline,11,0.0
CaptureSite3,CaptureSite1,pipeline,12,0.0
CaptureSite3,CaptureSite1,pipeline,13,0.0
CaptureSite3,CaptureSite1,pipeline,14,0.0
CaptureSite3,CaptureSite1,pipeline,15,0.0
CaptureSite3,CaptureSite1,pipeline,16,0.0
CaptureSite3,CaptureSite1,pipeline,17,0.0
CaptureSite3,CaptureSite1,pipeline,18,0.0
CaptureSite3,CaptureSite1,pipeline,19,0.0
CaptureSite3,CaptureSite1,pipeline,20,0.0
CaptureSite3,CaptureSite1,pipeline,21,0.0
CaptureSite3,CaptureSite1,pipeline,22,0.0
CaptureSite3,CaptureSite1,pipeline,23,0.0
CaptureSite3,CaptureSite1,pipeline,24,0.0
CaptureSite3,CaptureSite1,pipeline,25,0.0
CaptureSite3,CaptureSite4,truck,0,0.0
CaptureSite3,CaptureSite4,truck,1,0.0
CaptureSite3,CaptureSite4,truck,2,0.0
CaptureSite3,CaptureSite4,truck,3,0.0
CaptureSite3,CaptureSite4,truck,4,0.0
CaptureSite3,CaptureSite4,truck,5,0.0
CaptureSite3,CaptureSite4,truck,6,0.0
CaptureSite3,CaptureSite4,truck,7,0.0
CaptureSite3,CaptureSite4,truck,8,0.0
CaptureSite3,CaptureSite4,truck,9,0.0
CaptureSite3,CaptureSite4,truck,10,0.0
CaptureSite3,CaptureSite4,truck,11,0.0
CaptureSite3,CaptureSite4,truck,12,0.0
CaptureSite3,CaptureSite4,truck,13,0.0
CaptureSite3,CaptureSite4,truck,14,0.0
CaptureSite3,CaptureSite4,truck,15,0.0
CaptureSite3,CaptureSite4,truck,16,0.0
CaptureSite3,CaptureSite4,truck,17,0.0
CaptureSite3,CaptureSite4,truck,18,0.0
